"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000154957",-0.0804793425904413,3.61000438774363,-3.35040625733744,0.000902216197914341,0.00508542618998511,-1.17285949689264,"ZNF18","7566","zinc finger protein 18","Not Significant"
"ENSG00000262151",-0.42065538496282,-0.991175777097666,-3.35000689756906,0.000903473964229854,0.00509007961314026,-0.788820646348666,NA,NA,NA,"Not Significant"
"ENSG00000134007",-0.275617847975766,0.10401930649457,-3.3495913011236,0.000904784600652987,0.00509609479019775,-0.858850807160696,"ADAM20","8748","ADAM metallopeptidase domain 20","Not Significant"
"ENSG00000125166",0.112905703749616,5.89386341834241,3.34933018153413,0.000905608979914273,0.00509800009492804,-1.35548595481606,"GOT2","2806","glutamic-oxaloacetic transaminase 2","Not Significant"
"ENSG00000257509",-0.314485938841289,-1.25014749745796,-3.34936611237012,0.000905495501383423,0.00509800009492804,-0.782852146799783,NA,NA,NA,"Not Significant"
"ENSG00000107643",0.116452986845881,6.33834863660138,3.34915899878668,0.000906149799512018,0.00509967589073372,-1.35611873794197,"MAPK8","5599","mitogen-activated protein kinase 8","Not Significant"
"ENSG00000125089",-0.275394998207629,4.08431620513363,-3.34802360563206,0.000909744478562737,0.0051179219564627,-1.23994775380693,"SH3TC1","54436","SH3 domain and tetratricopeptide repeats 1","Not Significant"
"ENSG00000149547",0.125241426472554,6.08645127329253,3.34798091284448,0.000909879903487456,0.0051179219564627,-1.36116491689812,"EI24","9538","EI24 autophagy associated transmembrane protein","Not Significant"
"ENSG00000223891",-0.157288393697626,2.7660402834712,-3.3474042826049,0.00091171086023498,0.00512684592317123,-1.08687268298953,"OSER1-DT","100505783","OSER1 divergent transcript","Not Significant"
"ENSG00000135127",-0.215914531470899,3.25981818634164,-3.34717805652172,0.000912430125565647,0.00512951538025715,-1.15073752323515,"BICDL1","92558","BICD family like cargo adaptor 1","Not Significant"
"ENSG00000229456",-0.291205392235696,0.873891569440315,-3.34674857124669,0.000913797088791661,0.0051358236702586,-0.918450052509922,"RLIMP1","100533695","ring finger protein, LIM domain interacting pseudogene 1","Not Significant"
"ENSG00000168675",-0.107994045407764,5.95935255681668,-3.34664808147875,0.000914117202157071,0.00513624653502399,-1.36544587237547,"LDLRAD4","753","low density lipoprotein receptor class A domain containing 4","Not Significant"
"ENSG00000110906",0.126744210611929,4.49780084999925,3.34619719916866,0.000915554787656668,0.00514294635005319,-1.29049131772159,"KCTD10","83892","potassium channel tetramerization domain containing 10","Not Significant"
"ENSG00000132128",0.0961498256498832,5.89981546889635,3.34603519579899,0.000916071830224971,0.00514447299570784,-1.36686450075744,"LRRC41","10489","leucine rich repeat containing 41","Not Significant"
"ENSG00000166326",0.107808566015982,5.41552489513166,3.34580212838822,0.000916816154405699,0.00514589746819897,-1.35463717322088,"TRIM44","54765","tripartite motif containing 44","Not Significant"
"ENSG00000182771",-0.328445820120584,0.80704501725313,-3.34587081630439,0.00091659673415514,0.00514589746819897,-0.928336449309585,"GRID1","2894","glutamate ionotropic receptor delta type subunit 1","Not Significant"
"ENSG00000146674",-0.229237823915605,5.72814879415226,-3.34534149001005,0.000918288905612535,0.00515278485693497,-1.36747087420525,"IGFBP3","3486","insulin like growth factor binding protein 3","Not Significant"
"ENSG00000259298",-0.211432808330257,-0.124112024074659,-3.34512040441696,0.00091899654151938,0.00515537642641588,-0.857224585019927,NA,NA,NA,"Not Significant"
"ENSG00000182700",-0.112384875553741,4.64922343200499,-3.34467537266157,0.00092042250888905,0.00516199522030691,-1.31225816807421,"IGIP","492311","IgA inducing protein","Not Significant"
"ENSG00000058600",-0.061553116368561,5.62234971302849,-3.34422647213197,0.000921862959016247,0.00516731041297856,-1.36831550197999,"POLR3E","55718","RNA polymerase III subunit E","Not Significant"
"ENSG00000171189",-0.240504992672324,0.722635500235553,-3.34422823287261,0.00092185730498353,0.00516731041297856,-0.917742393601109,"GRIK1","2897","glutamate ionotropic receptor kainate type subunit 1","Not Significant"
