"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000092470",0.157349895705989,3.8740874877953,3.43497122869558,0.000644687578480129,0.00229932958799963,-1.22180244976283,"WDR76","79968","WD repeat domain 76","Not Significant"
"ENSG00000122481",-0.11449207017804,4.0853975336768,-3.43471644680306,0.0006452790987151,0.00230106379205698,-1.2684151770838,"RWDD3","25950","RWD domain containing 3","Not Significant"
"ENSG00000186684",-0.456255679105661,-1.65970072434098,-3.43451950860443,0.000645736671753328,0.00230231985282883,-0.612177183655279,"CYP27C1","339761","cytochrome P450 family 27 subfamily C member 1","Not Significant"
"ENSG00000070193",0.432699108259749,-0.0872434800377218,3.43401068445122,0.000646927932142593,0.00230581488664522,-0.765550674841037,"FGF10","2255","fibroblast growth factor 10","Not Significant"
"ENSG00000162004",-0.251256354364942,1.93250841677857,-3.43404982361274,0.000646829176391866,0.00230581488664522,-1.00387854407045,"CCDC78","124093","coiled-coil domain containing 78","Not Significant"
"ENSG00000110799",0.334618243419106,5.93608577342792,3.43364959636597,0.000647788988394744,0.0023081310939608,-1.39048703600212,"VWF","7450","von Willebrand factor","Not Significant"
"ENSG00000138030",-0.41362308684511,6.95284906096653,-3.43367986880947,0.000647747154416402,0.0023081310939608,-1.35276995994157,"KHK","3795","ketohexokinase","Not Significant"
"ENSG00000125780",-0.391312095867772,-1.17338191051928,-3.43353980405706,0.000648017453607733,0.00230819254661842,-0.69208000108271,"TGM3","7053","transglutaminase 3","Not Significant"
"ENSG00000240857",0.108774671568043,3.55309217132948,3.43358053874388,0.000647922472461157,0.00230819254661842,-1.18832449328485,"RDH14","57665","retinol dehydrogenase 14","Not Significant"
"ENSG00000231050",-0.302763510873137,-0.862499439141684,-3.4332505519266,0.000648692277067673,0.00231021971771078,-0.736571340872705,"GNB1-DT","105378949","GNB1 divergent transcript","Not Significant"
"ENSG00000268225",-0.265766427742609,-0.330626779871616,-3.43296181303008,0.000649366556999096,0.00231224429289219,-0.773404886005382,NA,NA,NA,"Not Significant"
"ENSG00000170004",0.132333382145616,6.37028674622303,3.4327128094806,0.000649948569671902,0.00231393971962031,-1.39302286411176,"CHD3","1107","chromodomain helicase DNA binding protein 3","Not Significant"
"ENSG00000065978",0.115019224612752,7.90942436367885,3.43164707496926,0.000652445085568712,0.0023224494772296,-1.3368257381263,"YBX1","4904","Y-box binding protein 1","Not Significant"
"ENSG00000087086",-0.192883706063686,11.0695000178067,-3.43109258825918,0.000653747523080092,0.00232633514317886,-1.12730441327428,"FTL","2512","ferritin light chain","Not Significant"
"ENSG00000117632",0.179971781087503,5.57923423662526,3.43109228235334,0.000653749563021804,0.00232633514317886,-1.39274344320446,"STMN1","3925","stathmin 1","Not Significant"
"ENSG00000234650",-0.235243736089332,0.0299456216551347,-3.43079994950922,0.000654435881633695,0.00232839827917728,-0.816433906867502,"LOC107984574","107984574","uncharacterized LOC107984574","Not Significant"
"ENSG00000124299",-0.313853407104141,8.23492173728387,-3.43073123936945,0.000654608926733643,0.0023286348799952,-1.30301769676309,"PEPD","5184","peptidase D","Not Significant"
